580	BARD1	142	PARP1	Deletion	Amplification	0.001185892043681217	0.016205043412771174	0.05280751141611358	5	2
8553	BHLHE40	142	PARP1	Deletion	Amplification	0.07401075109942598	0.08716720628982358	0.14323490752466972	5	1
672	BRCA1	142	PARP1	Deletion	Amplification	0.000643937609866049	0.08716720628982358	0.14323490752466972	5	1
675	BRCA2	142	PARP1	Deletion	Amplification	0.0004252525084035258	0.00018862091541258403	0.001193745444872003	14	5
378708	CENPS	142	PARP1	Deletion	Amplification	0.005612167126779367	0.016205043412771174	0.05280751141611358	5	2
22909	FAN1	142	PARP1	Deletion	Amplification	0.000669123664952085	0.0034244894132233177	0.007685794055213263	15	3
2176	FANCC	142	PARP1	Deletion	Amplification	0.06784669592560748	0.08716720628982358	0.22067136191984693	2	1
2188	FANCF	142	PARP1	Deletion	Amplification	0.1593084441213568	0.08716720628982358	0.31731050786291415	1	1
3014	H2AFX	142	PARP1	Deletion	Amplification	1.8042142749575436e-05	0.016205043412771174	0.04042397933690852	7	2
56160	NSMCE3	142	PARP1	Deletion	Amplification	0.005508410155439604	0.0034244894132233177	0.00616989932054416	20	3
25885	POLR1A	142	PARP1	Deletion	Amplification	0.08716720628982358	0.08716720628982358	0.31731050786291415	1	1
9989	PPP4R1	142	PARP1	Deletion	Amplification	0.016033960892844517	0.08716720628982358	0.17971249487899976	3	1
5888	RAD51	142	PARP1	Deletion	Amplification	1.2607853823454879e-05	0.016205043412771174	0.04042397933690852	7	2
5890	RAD51B	142	PARP1	Deletion	Amplification	0.6469517207695883	0.016205043412771174	0.04042397933690852	7	2
5892	RAD51D	142	PARP1	Deletion	Amplification	0.6700552434538274	0.08716720628982358	0.22067136191984693	2	1
80010	RMI1	142	PARP1	Deletion	Amplification	0.08716720628982358	0.08716720628982358	0.31731050786291415	1	1
84464	SLX4	142	PARP1	Deletion	Amplification	0.08716720628982358	0.08716720628982358	0.31731050786291415	1	1
23137	SMC5	142	PARP1	Deletion	Amplification	0.0289947927924835	0.08716720628982358	0.14323490752466972	5	1
51720	UIMC1	142	PARP1	Deletion	Amplification	0.017604616785731168	0.08716720628982358	0.22067136191984693	2	1
7486	WRN	142	PARP1	Deletion	Amplification	0.701492577973108	0.016205043412771174	0.01825586058745926	39	2
10038	PARP2	5893	RAD52	Deletion	Amplification	0.5631015362425886	0.09546884660702845	0.22067136191984693	2	1
5893	RAD52	10038	PARP2	Amplification	Deletion	0.00022203506851090052	0.7128064591005959	0.47328946538009	28	1
10038	PARP2	23137	SMC5	Amplification	Deletion	0.011607679750585558	0.08716720628982358	0.14323490752466972	5	1
23137	SMC5	10038	PARP2	Deletion	Amplification	0.0289947927924835	0.308839868318572	0.379775474840949	5	1
