HUGO_GeneName	EntrezID	GTEX-ZF2S-2026-SM-5E461	GTEX-13FTY-2226-SM-5J1ND	GTEX-WYVS-1726-SM-3NMAY	GTEX-ZVT2-1826-SM-5NQ8W	GTEX-RU72-0626-SM-46MUI	GTEX-131YS-0626-SM-5EGKL	GTEX-X15G-1626-SM-3NMB3	GTEX-1313W-0826-SM-5EQ4T	GTEX-YFC4-1426-SM-5IFJG	GTEX-131XW-0726-SM-5EGK3	GTEX-S341-1526-SM-4AD6K	GTEX-ZF3C-2326-SM-5S2MZ	GTEX-WYBS-0926-SM-3NM94	GTEX-WRHU-0326-SM-3MJFY	GTEX-ZC5H-2626-SM-5J2MG	GTEX-13QIC-2326-SM-5LU5N	GTEX-ZLV1-1426-SM-4WWES	GTEX-XUJ4-1926-SM-4BOOV	GTEX-13PL6-2926-SM-5L3I2	GTEX-VJWN-0726-SM-3GIJ8	GTEX-Q2AG-0326-SM-48U1O	GTEX-13O3O-0826-SM-5K7WE	GTEX-XMD2-0926-SM-4WWEF	GTEX-1269C-2426-SM-5FQSN	GTEX-Y3IK-2326-SM-4WWDT	GTEX-13N11-1726-SM-5J1OJ	GTEX-146FH-0826-SM-5SI8T	GTEX-RU1J-0626-SM-4WAWY	GTEX-XUZC-1626-SM-4BRVP	GTEX-WXYG-2226-SM-4E3IM	GTEX-R53T-1526-SM-48FEK	GTEX-Y5V5-2126-SM-4WWFO	GTEX-Y8LW-1626-SM-5IFHX	GTEX-ZVT4-1026-SM-57WC4	GTEX-13W3W-1226-SM-5LU4H	GTEX-12ZZX-1126-SM-5EGKB	GTEX-ZXES-0826-SM-5E43C	GTEX-ZVZQ-0826-SM-51MRF	GTEX-QDT8-0626-SM-48TYW	GTEX-1399U-1826-SM-5PNZ1	GTEX-TML8-1226-SM-32QON	GTEX-S4UY-0726-SM-4AD6X	GTEX-ZF29-1926-SM-5S2P1	GTEX-13113-1726-SM-5GCOO	GTEX-U3ZN-1926-SM-4DXSG	GTEX-133LE-1726-SM-5K7VQ	GTEX-11EM3-1326-SM-5N9C6	GTEX-14AS3-1626-SM-5S2OY	GTEX-Y114-2026-SM-4TT7L	GTEX-1211K-1926-SM-5EQLB	GTEX-Y5LM-1726-SM-4VDSX	GTEX-ZYWO-2326-SM-5GZY4	GTEX-11P81-1926-SM-5BC53	GTEX-YJ8O-2226-SM-5IFHW	GTEX-11ILO-2226-SM-5A5L1	GTEX-YB5K-1626-SM-5IFIN	GTEX-T6MO-0326-SM-32QOK	GTEX-UJHI-1426-SM-3DB9C	GTEX-ZAJG-0626-SM-5HL8X	GTEX-13D11-1026-SM-5IJFB	GTEX-XV7Q-2326-SM-4BRVZ	GTEX-T5JW-2026-SM-4DM63	GTEX-X4EP-2926-SM-3P5YQ	GTEX-XUW1-2326-SM-4BOO5	GTEX-11I78-2226-SM-5PNYA	GTEX-1117F-2826-SM-5GZXL	GTEX-XYKS-1326-SM-4BRUN	GTEX-QVJO-1826-SM-447C9	GTEX-ZQG8-0726-SM-5P9H9	GTEX-13FTX-1126-SM-5N9EN	GTEX-12WSB-0626-SM-59HJO	GTEX-ZPIC-1126-SM-5BC7F	GTEX-132AR-0826-SM-5EGK6	GTEX-SE5C-2126-SM-4BRUJ	GTEX-ZV6S-1826-SM-5NQ8D	GTEX-145ME-1526-SM-5Q5F2	GTEX-WI4N-1426-SM-3LK7H	GTEX-13CF3-2126-SM-5IFJP	GTEX-S32W-2026-SM-4AD6E
MUS81	80198	10.7473	11.2303	11.0568	10.6248	10.9027	10.9734	11.2538	10.1652	11.3395	11.0520	10.8903	10.2180	11.1629	11.2288	11.3529	10.1548	10.6318	10.2459	11.2408	10.1599	10.6987	10.5513	11.0458	10.7632	10.6355	10.7788	10.3685	10.9189	10.6788	11.0365	10.3167	10.5736	10.6364	9.7807	10.4596	10.7105	10.6043	10.1907	10.2791	10.9650	10.9270	10.2573	9.9929	10.5056	10.7262	10.7838	10.4091	10.9488	10.4240	10.2791	10.8471	10.4874	10.1573	10.5633	10.7507	10.1408	10.6883	9.8963	10.6644	11.2374	10.7220	10.1423	11.5959	10.2396	10.6457	10.9068	10.6891	10.3421	10.3247	10.4757	10.6573	10.0471	10.3537	10.3276	10.1787	9.8297	11.0962	10.3332	10.8065
FAAP100	80233	10.9366	10.8704	11.1618	10.2773	10.2831	10.7657	11.0539	10.0168	11.2444	10.8517	10.7846	9.7566	10.6101	11.1421	11.1836	10.4564	10.5401	9.7830	10.7879	9.7499	10.5088	10.8416	10.3597	10.4471	10.4959	10.7814	10.2562	11.0464	10.7830	10.7624	9.9469	10.4242	10.4419	10.0307	10.3163	10.4378	10.7389	10.2562	10.1459	10.8895	10.9366	10.3298	9.7515	10.3129	10.3805	10.8170	10.3998	10.3242	10.5793	10.2691	10.5498	10.3891	10.3815	10.5382	10.7507	10.0875	10.6018	9.9278	10.4221	10.9801	10.5488	10.7168	10.7640	10.0430	10.5008	10.4747	10.4502	9.9454	10.5382	10.1774	10.4747	10.1059	10.3343	10.4858	10.0056	9.8734	10.3740	10.6221	10.8130
BRIP1	83990	5.8074	5.2095	6.5999	5.6147	5.3923	6.4919	5.1293	4.2479	5.3219	7.1599	5.2854	4.8580	7.2854	5.6147	6.1293	6.2479	5.0875	4.9069	5.1699	6.1898	6.3399	4.2479	4.5236	5.7279	6.2095	5.9307	5.2479	5.3219	3.9069	5.9307	4.9542	5.6439	6.0661	5.4594	5.8074	5.4919	6.2288	5.5850	5.5236	5.8074	6.8074	5.3576	6.1085	6.1898	5.1699	4.5236	6.3576	3.7004	6.1085	6.0000	7.0768	5.0444	6.4263	4.2479	5.2479	5.4919	5.2479	4.4594	5.2095	4.5236	3.4594	7.6582	5.4263	4.7549	4.7549	4.0000	5.2854	4.0875	5.5850	4.8580	4.9542	6.1699	3.4594	4.9542	3.7004	5.2479	5.9542	5.1293	4.9542
ABRAXAS1	84142	9.0145	8.0520	9.1298	7.9231	8.0199	8.3118	9.0449	8.1343	8.6787	8.7304	8.3835	8.6279	8.8083	8.9150	9.0276	8.5109	7.9315	8.4413	8.2698	8.5870	7.9537	8.1313	8.5093	8.2429	8.7295	8.5430	8.5228	7.8870	7.1402	9.0865	8.4660	8.9187	8.6725	8.2104	7.8879	8.3009	8.4045	8.3495	8.2066	8.8914	9.4421	8.2326	8.3528	8.1056	8.6294	7.9982	8.6019	8.3154	8.5609	8.2055	8.6032	8.0385	8.7011	8.7952	8.3362	8.1466	8.8104	7.9560	7.7151	8.6036	8.1673	7.5388	8.9250	7.9281	7.5641	8.3036	8.1892	7.9965	8.1968	8.5603	9.4802	8.9160	7.8893	7.4722	8.5385	8.4192	8.5340	7.7915	8.1754
POLR1B	84172	9.6110	8.6935	9.5058	8.3966	9.2143	8.8424	9.1573	8.3966	9.5699	9.9069	9.3487	8.0661	8.6073	9.2070	9.8361	8.6511	9.0334	8.6073	8.5774	8.8074	8.2384	9.3880	8.1137	8.4009	9.0580	9.4858	8.6830	9.4919	8.9915	9.6812	8.7004	9.1084	8.5736	8.5236	9.1948	8.9513	9.2264	8.5275	8.7944	9.7313	9.4450	8.5736	8.7649	8.8580	8.5392	9.3902	9.4030	8.7245	9.7415	9.0168	9.4656	8.6760	9.0224	8.3309	9.5661	8.6036	9.2408	8.8202	8.9337	9.1972	9.2264	8.5157	9.7977	8.1997	8.6618	9.2288	9.4992	7.5925	8.9396	9.5333	8.6147	8.9972	8.8265	8.5157	8.5392	8.4051	8.2715	9.2216	9.0362
RAD54L	8438	4.8001	4.9745	4.7745	3.7104	3.9819	5.7623	4.1094	4.1465	6.2255	6.0551	4.4841	4.4410	7.2122	5.6890	5.0909	5.2028	4.1309	3.5814	5.6656	3.7203	5.3712	4.6363	3.9864	4.6899	4.3234	4.5771	5.0058	4.3519	3.5521	3.2357	3.3854	3.2839	4.1977	3.8001	3.0000	3.2141	5.2172	4.6548	4.4019	3.6645	3.0000	2.8278	3.3590	5.3201	4.4744	4.3597	4.2593	4.1938	3.7485	2.9355	3.9946	3.4893	6.1731	3.3674	5.0832	3.4777	3.2403	3.1827	4.7274	4.0444	3.2032	7.0956	3.0426	3.7148	3.3219	4.0347	4.8032	3.7334	4.4289	2.5558	3.7991	4.4712	4.5807	4.0330	2.7442	2.4777	4.2668	2.7549	3.3161
SLX4	84464	8.9542	9.2070	9.2143	7.8887	8.4429	8.5774	8.7582	8.0661	9.2312	8.7814	8.7846	7.8887	8.7211	9.4073	8.8297	8.3966	8.1293	7.7004	8.5661	7.5850	8.1085	8.2621	8.1548	8.4471	8.3576	8.8138	8.4429	8.1497	8.3264	8.9396	8.0056	8.5314	8.0444	8.2143	8.5078	8.5157	8.3354	8.3399	8.2095	8.4757	8.8611	8.2046	8.1699	8.4051	8.5469	8.4346	8.0742	7.4512	8.3923	8.2574	8.5812	8.3966	8.6221	8.7074	8.9069	8.0980	8.1344	8.0768	8.1497	8.7781	8.3837	8.2527	8.6689	7.9542	8.4553	8.4305	7.9542	8.0607	8.1599	8.0112	8.6618	8.5887	8.6439	7.9887	7.7879	8.0980	8.1599	8.4471	8.6760
PARG	8505	10.0202	9.2940	10.0932	8.8411	8.9707	9.0633	9.4747	8.6845	9.4177	9.7222	9.1691	8.9135	9.7295	9.7409	10.0644	9.3042	9.1045	8.5711	9.1039	9.6016	8.6717	9.2260	8.8085	9.3131	9.3624	9.5827	9.2469	9.2743	8.9697	9.7694	8.8923	9.6304	9.1312	8.5114	8.7348	9.1580	9.6166	9.1105	8.8770	9.2867	9.7804	8.6150	8.9254	8.9299	8.9177	9.1287	9.1408	9.0521	9.3552	9.2817	9.1091	8.9864	9.4377	9.4492	9.3018	9.1239	9.2518	8.3039	8.7363	9.1860	8.9313	8.6732	9.5735	8.4967	8.7385	8.7815	8.9772	8.3203	9.3039	9.1117	9.0579	9.3600	8.8722	8.6220	8.7601	9.0534	9.2751	9.2664	8.8684
BHLHE40	8553	14.7396	15.0566	15.2518	12.9614	15.5605	14.4449	13.9259	15.2851	14.8653	15.1258	13.2751	15.0778	15.7541	15.1662	14.8866	15.0203	13.1534	12.4861	14.9081	14.8612	15.2019	15.5540	15.1081	16.0733	14.1766	14.7828	14.3143	11.7207	10.1357	11.9318	13.8342	13.9474	13.1317	14.4531	12.3639	13.6931	12.9584	14.7178	13.1309	12.1944	13.7965	11.7211	13.5943	13.9217	12.5644	12.7805	11.9363	13.7806	12.2270	12.5375	13.3567	12.6607	13.6472	14.3931	14.8623	12.0389	11.5555	11.5699	14.3740	13.0338	12.3576	12.5206	16.0825	13.1445	11.9215	12.8745	12.2040	13.8270	11.2408	13.4801	12.3487	11.3712	12.4043	11.8494	13.4078	12.0220	15.0751	13.2396	12.9291
TOP3B	8940	10.5982	10.8058	10.7213	9.2588	10.5683	10.6850	10.6132	9.1724	11.3541	11.0977	10.2647	9.5116	10.8471	10.6466	11.0693	9.9509	9.7814	9.7292	11.0163	9.5636	10.2174	10.5151	10.5886	10.4062	9.9002	10.4064	9.8941	10.6279	10.6013	10.2710	10.0008	10.2546	9.8872	9.2014	9.8993	10.1438	10.4176	9.2977	9.9510	10.3193	10.3409	9.4527	9.3514	9.7691	10.4197	10.3185	9.3835	9.7676	9.7881	9.4609	9.8966	9.9460	9.8587	9.1051	10.5737	9.3650	10.2565	9.3392	10.4250	10.5810	9.8019	9.5625	10.4480	10.0285	10.3678	9.7491	9.2578	10.0415	9.3437	9.3448	10.1442	9.3487	9.5468	9.3672	9.5441	9.3629	10.4053	9.6329	10.0208
FAAP24	91442	6.5392	6.1699	6.5392	6.4757	5.3219	6.1898	6.3399	4.8074	6.2668	6.5392	5.8826	5.1699	6.0224	6.0224	6.4094	5.9773	6.0000	5.1293	5.3576	6.2479	5.6724	5.9307	5.0875	5.7004	6.3923	6.2288	6.0444	6.5546	5.8580	6.4757	5.1699	5.9773	6.1085	5.3219	5.7279	5.2854	6.7814	6.6439	5.0875	6.5699	5.8826	6.1085	5.3219	5.5546	5.7549	6.2854	6.4263	6.4757	7.1293	6.4094	6.5699	5.9542	6.3038	5.3576	6.0875	5.7549	4.7004	4.9542	4.8580	6.2854	4.1699	5.9307	6.0661	5.7279	6.0875	5.4594	5.8826	5.7004	4.9069	5.6439	6.3219	5.8074	5.9069	5.9069	5.7549	5.4919	5.9307	6.5078	6.1497
RECQL5	9400	10.6528	11.0904	10.9630	9.9002	10.1459	10.4900	10.8926	8.9586	11.0252	11.0659	10.1662	9.2808	10.8684	10.6335	10.8900	9.9986	10.1273	9.6328	10.5751	9.5717	10.2496	9.5992	9.9124	10.5631	10.2916	10.3266	9.6402	10.3938	10.4574	10.3278	9.3966	10.0537	10.1990	9.4104	9.8615	10.0541	10.5773	9.5260	9.6935	10.4121	10.5429	9.8987	9.6551	9.4676	9.8745	10.2458	10.2684	9.5999	10.0245	9.6294	10.0133	9.7417	10.1494	9.5151	10.2194	9.2345	10.0389	9.1911	10.0814	10.2507	9.5661	9.5110	10.2329	9.6154	9.5392	9.2368	9.3129	9.1527	9.5995	9.3197	9.5859	9.2454	9.8139	9.4249	9.0438	9.6931	9.9212	9.3570	9.7390
BABAM2	9577	10.3474	9.9069	10.1607	9.7039	9.6993	9.8712	9.8776	9.9487	9.8680	10.4429	9.8521	9.8842	10.3878	10.4561	10.2550	9.8295	9.7945	9.1699	9.9780	10.0251	9.8057	10.4422	10.3090	9.8855	9.9122	10.2313	9.9986	9.3161	9.2877	10.0320	9.5446	10.0429	9.9607	9.9534	9.5925	9.5556	10.1867	9.9840	9.3444	10.3428	10.3912	9.7708	9.4642	9.8372	9.4635	9.8642	10.0584	9.8850	10.1848	9.8657	10.2380	9.8705	9.6294	9.9218	9.8642	9.9352	9.8826	9.0279	9.7254	10.4696	10.1331	9.2774	10.3042	9.2291	9.5353	9.5793	10.0848	9.2046	10.3237	10.3376	10.1336	10.1703	9.8387	9.4737	9.7933	9.7797	10.1523	9.6891	9.8852
TELO2	9894	11.2580	11.3332	11.2556	10.9766	10.3612	10.6239	11.4252	9.5812	11.4868	11.3309	10.9151	9.9337	11.3326	11.2234	11.3864	10.6466	11.0021	10.1737	10.7903	9.9159	10.8549	10.7838	10.6348	10.2796	10.8400	11.4497	10.0647	10.8162	10.9858	10.6970	10.0741	10.5575	11.1523	10.3531	10.8329	10.5632	11.3083	10.2597	10.1241	11.2354	10.6909	10.8025	10.5450	10.1098	10.6448	11.1007	10.8392	10.6609	10.8572	10.3718	11.0049	10.6110	10.3815	10.3718	10.9873	10.4656	10.8688	9.7599	10.6466	11.4813	10.8321	10.8895	11.3298	10.1787	10.8556	10.8439	10.1421	10.1254	10.8033	10.3106	11.0286	10.1536	9.9915	10.4757	10.2515	10.1861	11.0701	10.7004	10.7920
PPP4R1	9989	11.6110	11.0070	11.5746	11.0300	10.6284	10.4316	10.9773	10.7490	11.0471	10.9366	11.0600	11.2192	11.5689	11.8838	11.3767	10.8978	10.9024	10.5265	10.8065	11.2306	10.9780	11.3891	10.8773	11.2336	11.0112	11.3202	10.9979	11.0728	10.8910	11.4215	10.7781	11.2113	11.1357	11.2986	10.7279	10.6110	11.3685	11.0355	10.5343	11.5925	11.3891	10.7482	11.0224	11.2161	10.6421	11.0607	10.8727	10.5670	11.3231	11.1118	11.2779	10.8588	10.8049	11.1935	11.2467	10.6528	11.4157	10.2668	10.7640	11.5362	10.7756	10.6921	11.7607	10.7415	11.0835	10.8673	10.7099	10.2276	11.1183	11.1649	11.2497	10.9013	10.3554	10.6248	11.1072	11.0175	11.2952	11.0286	11.2180
