HUGO_GeneName	EntrezID	GTEX-ZF2S-2026-SM-5E461	GTEX-13FTY-2226-SM-5J1ND	GTEX-WYVS-1726-SM-3NMAY	GTEX-ZVT2-1826-SM-5NQ8W	GTEX-RU72-0626-SM-46MUI	GTEX-131YS-0626-SM-5EGKL	GTEX-X15G-1626-SM-3NMB3	GTEX-1313W-0826-SM-5EQ4T	GTEX-YFC4-1426-SM-5IFJG	GTEX-131XW-0726-SM-5EGK3	GTEX-S341-1526-SM-4AD6K	GTEX-ZF3C-2326-SM-5S2MZ	GTEX-WYBS-0926-SM-3NM94	GTEX-WRHU-0326-SM-3MJFY	GTEX-ZC5H-2626-SM-5J2MG	GTEX-13QIC-2326-SM-5LU5N	GTEX-ZLV1-1426-SM-4WWES	GTEX-XUJ4-1926-SM-4BOOV	GTEX-13PL6-2926-SM-5L3I2	GTEX-VJWN-0726-SM-3GIJ8	GTEX-Q2AG-0326-SM-48U1O	GTEX-13O3O-0826-SM-5K7WE	GTEX-XMD2-0926-SM-4WWEF	GTEX-1269C-2426-SM-5FQSN	GTEX-Y3IK-2326-SM-4WWDT	GTEX-13N11-1726-SM-5J1OJ	GTEX-146FH-0826-SM-5SI8T	GTEX-RU1J-0626-SM-4WAWY	GTEX-XUZC-1626-SM-4BRVP	GTEX-WXYG-2226-SM-4E3IM	GTEX-R53T-1526-SM-48FEK	GTEX-Y5V5-2126-SM-4WWFO	GTEX-Y8LW-1626-SM-5IFHX	GTEX-ZVT4-1026-SM-57WC4	GTEX-13W3W-1226-SM-5LU4H	GTEX-12ZZX-1126-SM-5EGKB	GTEX-ZXES-0826-SM-5E43C	GTEX-ZVZQ-0826-SM-51MRF	GTEX-QDT8-0626-SM-48TYW	GTEX-1399U-1826-SM-5PNZ1	GTEX-TML8-1226-SM-32QON	GTEX-S4UY-0726-SM-4AD6X	GTEX-ZF29-1926-SM-5S2P1	GTEX-13113-1726-SM-5GCOO	GTEX-U3ZN-1926-SM-4DXSG	GTEX-133LE-1726-SM-5K7VQ	GTEX-11EM3-1326-SM-5N9C6	GTEX-14AS3-1626-SM-5S2OY	GTEX-Y114-2026-SM-4TT7L	GTEX-1211K-1926-SM-5EQLB	GTEX-Y5LM-1726-SM-4VDSX	GTEX-ZYWO-2326-SM-5GZY4	GTEX-11P81-1926-SM-5BC53	GTEX-YJ8O-2226-SM-5IFHW	GTEX-11ILO-2226-SM-5A5L1	GTEX-YB5K-1626-SM-5IFIN	GTEX-T6MO-0326-SM-32QOK	GTEX-UJHI-1426-SM-3DB9C	GTEX-ZAJG-0626-SM-5HL8X	GTEX-13D11-1026-SM-5IJFB	GTEX-XV7Q-2326-SM-4BRVZ	GTEX-T5JW-2026-SM-4DM63	GTEX-X4EP-2926-SM-3P5YQ	GTEX-XUW1-2326-SM-4BOO5	GTEX-11I78-2226-SM-5PNYA	GTEX-1117F-2826-SM-5GZXL	GTEX-XYKS-1326-SM-4BRUN	GTEX-QVJO-1826-SM-447C9	GTEX-ZQG8-0726-SM-5P9H9	GTEX-13FTX-1126-SM-5N9EN	GTEX-12WSB-0626-SM-59HJO	GTEX-ZPIC-1126-SM-5BC7F	GTEX-132AR-0826-SM-5EGK6	GTEX-SE5C-2126-SM-4BRUJ	GTEX-ZV6S-1826-SM-5NQ8D	GTEX-145ME-1526-SM-5Q5F2	GTEX-WI4N-1426-SM-3LK7H	GTEX-13CF3-2126-SM-5IFJP	GTEX-S32W-2026-SM-4AD6E
PARP2	10038	10.4019	10.6248	10.8895	9.8486	9.7599	10.5450	10.2515	9.5962	10.1886	11.5356	9.8202	9.7814	10.9873	11.0941	10.3151	10.0861	9.6777	9.0417	10.1267	10.1960	10.3729	10.0941	9.9972	10.1111	10.1636	10.4502	9.5774	9.6165	9.7814	9.9715	8.9069	9.8994	10.1293	9.9744	9.4939	10.2119	10.7682	10.0728	9.7895	10.0661	10.3783	9.4594	9.9322	9.8657	9.5314	9.8202	9.9024	9.1849	10.2167	9.3815	10.6294	9.2738	9.9469	9.8872	9.8025	9.4115	9.6402	8.9366	9.8887	9.8564	9.4818	9.8626	10.6266	9.1724	9.5887	9.1774	9.4798	9.3421	9.3487	9.3219	10.3443	9.6330	9.2143	9.1059	9.0279	9.5641	9.8842	9.0250	9.2854
RAD50	10111	11.6027	11.1949	11.7434	10.3542	10.4354	10.7846	11.3044	10.1331	11.0698	11.6325	10.9181	10.6978	11.5664	11.3907	11.4189	10.7457	10.8344	10.3071	10.7514	10.8910	10.5925	10.6257	10.3264	11.0762	11.2251	11.3603	10.8329	10.8940	10.9936	11.4752	10.6018	11.1472	11.0687	10.4073	10.6175	10.8281	11.3674	10.5622	10.4867	10.8130	11.3309	10.8368	10.7887	10.8510	10.6421	10.6970	11.2119	9.8533	11.3783	11.1208	11.3112	10.2574	11.2257	10.7004	10.9046	10.9329	11.3185	10.0607	10.3663	10.6366	10.7844	10.3815	11.2597	10.0713	10.6110	10.3230	10.5440	9.7814	11.0327	10.8353	10.5409	11.1535	10.7339	10.3718	10.5774	10.8564	10.9851	10.9128	10.5632
KAT5	10524	11.0108	10.9704	11.2403	10.7264	10.6232	10.9235	11.0385	10.1865	10.5908	11.2637	10.7014	10.1532	10.7505	11.2266	11.0622	10.4465	10.5370	10.1235	10.8165	10.5422	10.4751	10.9149	10.9002	10.5597	10.5174	10.5532	10.3119	10.4486	10.3307	10.8638	9.9050	10.5864	10.7380	10.7632	10.2916	10.4064	11.1802	10.3910	10.3232	11.4786	11.0647	10.3202	10.4297	10.5170	10.4404	10.6872	10.8850	10.9346	11.1357	10.4137	11.1939	10.4772	10.3436	10.4842	10.2634	9.9607	10.5397	10.0866	10.3728	11.1020	10.1160	9.7640	10.9619	10.0257	10.4076	10.2027	9.9081	10.2123	10.2499	10.1595	10.2537	10.3698	9.7957	9.9516	10.2954	10.0014	10.5607	10.2401	10.1839
HELQ	113510	9.7142	9.1599	9.7846	8.5850	8.8297	9.0224	9.6221	8.5925	9.1599	9.5925	8.7944	8.9396	9.4757	9.0821	9.8281	8.9067	8.7177	8.6511	9.2095	9.1749	8.5736	8.8517	9.0389	8.9366	9.2119	9.1898	8.9542	8.9009	8.6073	9.5736	8.5850	9.3576	9.0795	8.7682	8.3707	8.5962	9.2808	9.0928	8.8170	9.3531	9.5236	8.5962	8.6795	8.8074	8.7347	8.9337	9.3242	9.2877	9.1659	8.9454	9.6865	8.8392	9.2479	9.1344	9.0140	8.4305	9.2312	8.2046	8.7245	9.2021	8.6475	8.0000	9.7731	8.3880	8.4919	8.5236	8.7482	8.3487	8.8948	8.9887	9.3376	8.8918	8.5196	7.8826	8.5925	8.6970	8.8361	8.6221	8.7944
RMI2	116028	6.4919	4.7549	6.9425	4.3219	5.3219	6.4429	6.0661	3.8074	5.4594	7.2946	5.2479	5.6147	7.4009	6.4263	7.2854	6.2479	4.8074	3.8074	6.8202	5.2479	6.3576	4.5850	4.7004	6.1699	4.8074	5.9307	5.2854	5.4594	3.7004	4.9069	4.0000	5.0000	4.6439	3.4594	3.7004	5.3576	5.2095	5.7549	5.2854	4.9542	5.5546	4.0000	4.3923	5.6724	3.9069	5.4263	5.4919	3.9069	6.4094	3.9069	5.1699	2.8074	5.8580	5.1699	5.7279	5.0000	3.7004	2.8074	5.0444	4.6439	3.3219	6.7415	5.2479	4.5236	3.0000	5.3576	5.2854	4.4594	5.0444	3.7004	5.9542	5.3219	5.2095	5.3219	2.0000	4.7004	4.3923	1.5850	4.7004
PARP1	142	11.8857	11.2603	11.7381	10.9708	10.7810	10.9469	11.2976	10.4696	11.3619	11.2744	11.1299	10.8114	11.4268	11.5999	12.1621	11.0154	11.2720	10.6926	11.0668	11.0580	10.7607	11.5362	10.9979	11.3565	11.4089	11.3504	11.6935	11.4398	11.2831	11.5546	11.4486	11.5493	10.9372	10.3332	10.9823	11.1434	11.4030	11.0546	10.9315	11.5483	11.6878	10.9758	10.6321	11.0841	10.8757	11.4299	11.2929	11.1836	11.4924	11.5083	11.0042	11.1855	11.4113	11.1743	11.6528	11.2808	11.3982	10.4767	10.8925	11.4909	11.7266	11.0007	11.6362	10.6926	11.1636	11.0928	11.2732	10.3520	11.8289	11.7022	11.2186	11.3259	11.5555	11.0908	11.0654	11.1755	11.2119	11.2644	11.1325
EME1	146956	5.9937	4.9796	6.1831	4.8324	4.6809	6.2944	5.6769	4.0215	6.1243	7.4417	4.9887	4.2758	7.4735	6.3813	5.2758	5.2574	5.2596	4.6058	5.7120	5.1795	5.9158	5.1538	4.6177	5.2422	5.2559	6.1187	5.1534	4.7772	4.5084	4.4796	3.7268	5.5264	5.9950	5.4333	4.4243	5.2048	5.9083	5.7679	5.4571	5.2357	5.3377	4.4229	5.0157	5.4692	5.4851	5.2059	4.4880	4.1194	5.3968	5.0330	5.4653	4.4168	5.8679	4.2653	5.6968	4.6165	5.2192	4.2540	4.4195	5.0824	4.4925	7.2576	5.4323	4.7236	5.2012	4.5398	5.4777	5.1591	4.7214	4.2795	5.8639	4.7071	5.0400	5.3107	4.6165	3.3674	4.8258	4.7350	4.3060
PPP4R2	151987	10.8047	10.2843	11.2260	10.1860	10.5826	9.6766	10.3256	10.6507	10.4594	10.4892	10.3306	10.5366	11.0175	11.1480	11.0304	10.5996	10.1565	9.6851	10.3394	10.9447	10.2015	10.7182	10.5036	10.3363	10.3099	10.5319	10.5380	10.4568	10.2195	10.8247	10.3973	10.5349	10.3657	10.4602	9.6554	10.2950	10.7933	10.2771	9.9829	10.5184	11.0573	10.1214	10.3175	10.3425	9.9295	10.1542	10.4163	10.2597	10.7231	10.4164	10.6402	10.2690	10.4296	10.4886	10.4621	10.4365	10.9762	9.6801	9.8011	10.1530	10.3717	10.0774	11.0152	9.8056	10.0831	10.0764	10.5783	9.6126	10.5654	10.6089	10.4562	10.6119	10.1605	9.8304	10.1480	10.8424	10.5930	10.4247	10.2379
HFM1	164045	5.7279	4.7549	6.2479	4.7549	5.7549	5.3923	6.1497	5.5850	4.1699	5.5236	4.8074	5.4263	5.1293	7.1799	5.5850	4.8074	4.8580	5.8580	5.1699	4.9069	5.2479	6.0000	5.2854	4.5850	5.9773	5.6724	5.5850	4.0875	2.3219	6.8202	5.7814	4.9069	6.1293	5.0875	5.1699	5.6147	5.0000	4.8580	4.9542	5.5236	6.4263	5.5236	4.8580	4.9542	4.6439	5.8329	6.3038	4.6439	6.6294	5.6439	6.1699	5.0000	4.7549	5.8074	5.7004	5.0444	5.3923	4.8580	6.5392	5.2479	6.3576	4.3219	6.5392	3.8074	4.1699	4.9069	6.3219	4.7549	4.9542	5.7279	6.3923	6.3219	4.7004	4.3219	4.9542	5.3576	6.4263	5.9307	6.1293
DNA2	1763	7.5236	7.2384	7.4512	5.5850	6.8455	6.1293	7.1189	6.2095	7.3399	6.7142	6.6294	6.3219	7.8265	7.3750	7.5157	6.5078	6.9542	6.4594	6.2479	6.6439	5.3923	6.5999	6.8948	7.0553	6.1293	7.3129	7.7549	7.5850	7.4263	6.7549	8.4798	7.2192	5.7279	5.1699	6.1898	6.3750	7.4009	6.2479	6.0000	6.4094	7.2668	5.8074	6.2095	6.6439	6.8329	6.6865	6.5850	5.5850	5.6724	6.0224	6.5699	6.6582	7.2095	7.5157	7.0875	7.3487	7.5774	5.7549	6.5078	6.4757	6.9189	7.2854	6.8455	6.9189	7.3399	6.6724	7.0224	6.4429	7.2095	7.8887	5.9542	7.1293	7.6511	5.3923	6.9542	6.9425	6.5236	6.3038	7.3487
EME2	197342	10.4348	10.6712	10.7432	10.3998	9.7837	10.7441	11.0544	9.3364	11.5004	11.1816	10.3541	9.1875	11.2123	10.7775	10.6066	9.9959	10.3220	9.8605	10.2087	9.7632	10.2842	10.3592	9.6995	9.9190	10.3097	11.1546	10.0122	10.7057	11.1537	10.2634	9.5510	9.7055	10.6704	9.8991	10.0832	9.6378	10.9416	9.8077	9.7253	10.7207	10.0262	9.9296	10.1258	10.0880	10.1682	10.5632	10.0112	9.1291	10.7102	9.9963	9.8199	10.0416	9.7561	9.9330	10.3544	9.8471	10.2077	9.1105	10.0908	10.4764	9.8607	10.6693	10.3610	9.5699	10.6496	9.8207	9.3966	9.4366	9.7897	9.7136	10.2274	9.4396	10.0636	9.8758	9.6779	9.6728	10.3140	10.2546	10.2182
NSMCE1	197370	10.2773	10.3287	10.3848	10.1699	9.4635	10.2300	10.5236	9.9498	10.3163	10.3783	9.6970	9.6294	10.3542	10.4778	10.9330	9.8887	10.1687	9.5641	10.5157	9.3083	9.5999	10.2479	9.7142	10.0126	10.3242	10.2119	9.9758	10.0126	9.8408	10.0512	9.4919	10.1935	9.6493	9.7928	9.5157	9.9396	10.2935	9.8626	9.6073	10.4858	10.3761	9.7022	9.0741	9.7895	9.4919	10.2082	10.4778	10.8895	9.8250	9.7993	10.2550	9.7715	9.9278	10.1059	9.7912	9.7056	9.8657	9.0580	9.7482	10.4522	10.1523	9.2384	10.4909	9.4737	9.3902	9.8842	10.2668	9.3576	10.3242	10.1215	10.0265	10.1812	10.1215	9.2527	9.5793	9.9600	9.7781	10.0848	10.0028
CENPX	201254	9.6239	9.6092	9.5718	10.0238	8.8796	9.7632	9.7039	9.1007	9.5850	10.1548	9.3106	8.7039	9.9469	9.6439	9.9484	8.9159	9.5353	8.7649	9.5098	8.5353	8.8978	10.1561	9.4136	8.9189	9.3376	9.4200	9.2384	9.4533	9.5641	9.7764	8.5196	9.6618	9.5469	9.0980	9.3859	9.2119	9.8595	9.2503	8.9744	10.1874	9.1649	9.1472	8.8580	8.9600	8.9715	9.5774	9.2808	10.4073	10.1923	9.5392	9.8090	9.3685	9.1396	9.0028	9.3242	9.5177	9.3815	8.4429	9.3967	10.1254	8.9542	9.1624	9.8471	8.7004	9.6952	9.3354	9.8281	8.7142	9.4858	9.0417	9.3859	9.2527	9.3015	9.2668	9.4157	8.9542	9.2831	9.6055	9.9114
RDM1	201299	2.3219	2.3219	2.5850	1.5850	0.0000	2.0000	1.0000	0.0000	1.0000	2.8074	0.0000	2.0000	4.0000	0.0000	2.0000	2.0000	2.0000	0.0000	1.5850	0.0000	1.5850	0.0000	0.0000	2.0000	1.0000	1.5850	1.0000	1.0000	0.0000	0.0000	1.0000	1.5850	1.5850	0.0000	0.0000	2.0000	2.0000	1.0000	0.0000	0.0000	2.3219	1.0000	2.0000	1.5850	0.0000	0.0000	2.0000	0.0000	1.0000	1.0000	0.0000	0.0000	1.5850	1.0000	1.5850	0.0000	0.0000	0.0000	1.5850	0.0000	0.0000	3.5850	1.0000	1.5850	0.0000	0.0000	2.5850	0.0000	1.0000	0.0000	1.0000	1.0000	1.0000	2.0000	0.0000	2.3219	0.0000	0.0000	1.5850
FANCA	2175	6.9508	7.1513	7.7925	6.5791	7.1224	7.6813	6.9400	6.5546	7.9497	8.3382	7.1030	5.6820	8.9033	8.2371	8.1692	7.0904	6.8814	5.7610	7.5862	6.4239	7.2477	7.6577	6.3112	6.9610	7.2280	6.9759	7.6561	8.6253	6.5601	6.4180	6.3183	7.0214	6.4670	6.1029	6.6612	7.1720	7.5538	6.4970	6.3947	6.2128	7.4123	6.2085	6.2426	7.0437	6.8338	7.3719	6.4268	6.5259	7.1058	6.2793	6.8477	5.8079	7.5174	5.9697	7.5291	5.9674	6.9088	5.3677	7.5177	6.9389	6.4254	9.0493	6.7407	7.1199	6.4542	6.7573	6.6373	5.9054	6.2203	5.2754	7.6204	6.1799	6.7505	6.7197	6.2380	6.4418	6.3621	7.0878	6.7347
FANCC	2176	8.6570	8.1112	8.8537	7.7796	8.2117	8.1790	8.7396	7.7469	8.4062	8.3124	8.3014	8.0186	8.8392	8.7641	8.9989	8.0023	8.3775	7.7342	8.2351	7.7482	8.0634	7.9748	7.9307	8.0732	8.5220	7.8580	8.2271	8.9392	8.8383	8.6105	8.1293	8.4287	8.2386	7.5925	8.5236	8.4080	8.8874	7.6795	7.5054	8.5565	8.7791	7.9009	7.7979	8.1269	8.1900	8.4581	8.3298	7.6865	8.5515	8.0388	8.1794	8.1749	8.4305	8.3374	8.3021	8.1519	8.9366	7.7879	7.5576	8.4410	8.2761	8.4676	8.8922	7.7944	9.1472	8.3933	7.9773	7.6735	8.4051	8.2510	8.4372	7.9425	8.3129	8.1263	8.1564	8.0224	8.3515	8.6045	8.3264
FANCD2	2177	8.7614	9.3287	9.2336	7.9944	8.1749	8.8131	8.5999	6.9189	8.7107	9.6220	8.3830	7.0661	9.1598	8.6475	9.3174	8.1649	8.0498	7.3750	8.3129	8.5236	8.1189	7.5469	7.8642	8.2992	8.4094	8.1344	7.8202	8.7211	8.7682	8.4552	6.3219	8.1649	8.7649	7.4179	8.0210	8.3443	9.4512	8.0661	7.9299	8.9655	9.1007	8.5157	8.4553	7.9484	8.1699	8.5466	9.0820	7.5925	8.3354	8.1187	8.9128	6.3576	8.7973	6.6294	8.4552	6.9542	8.6147	7.6434	7.9129	8.6900	6.1898	8.5999	9.1319	7.7074	7.1865	7.6724	7.3399	6.6294	7.0553	6.9069	7.7482	8.1085	6.7004	7.7748	7.4594	6.5904	7.8009	6.9887	7.0224
FANCE	2178	8.2715	8.0928	9.0498	8.1548	8.4009	8.0056	9.1447	7.5774	8.0768	8.2143	8.7313	8.3309	8.3640	8.0768	8.9307	7.9129	7.9887	8.4429	9.2070	8.0715	7.6653	7.4838	8.5887	8.1497	8.3083	8.7549	8.4051	8.4009	7.4998	8.9454	8.4998	8.7549	8.6439	7.6582	8.1699	8.7944	8.6760	7.5699	8.5622	9.0498	8.6294	8.8517	7.8642	8.3354	9.0251	8.4388	8.3663	9.2143	7.8765	8.4471	8.8202	9.3015	8.2336	7.8517	8.2761	8.6511	8.4959	8.0224	8.7142	9.5943	8.2240	6.7549	9.2992	8.0389	9.2288	8.7515	8.2900	8.0056	7.7814	7.8517	8.1898	8.6546	8.6257	8.1396	8.7616	7.8826	8.8548	7.9069	8.2527
FANCB	2187	4.6439	5.1699	5.0000	4.5236	4.7549	4.6439	3.8074	4.5236	5.0000	5.3923	4.5850	3.5850	4.9069	4.8074	4.9542	4.4594	3.7004	3.0000	4.5236	5.0444	4.8074	4.7549	4.0000	4.2479	4.4594	4.0875	4.8074	5.0000	3.7004	4.2479	3.7004	4.7549	3.5850	3.0000	3.3219	5.2854	4.3219	4.3923	4.0000	4.5236	5.2479	4.0000	4.5850	3.8074	4.0875	3.3219	3.5850	4.1699	4.3219	4.7004	4.8074	4.1699	4.8074	3.9069	4.9542	4.0000	4.0875	3.1699	3.8074	3.8074	3.7004	4.0875	5.0444	3.0000	4.0875	4.4594	2.0000	4.1699	3.5850	3.7004	4.7549	3.9069	3.5850	3.1699	3.4594	3.0000	4.9069	4.0875	4.3923
FANCF	2188	9.0875	8.4838	9.0526	8.3707	7.9009	8.4388	9.0661	7.2574	8.5430	8.9337	8.2992	7.9366	8.8297	7.9366	9.5196	8.1396	8.2192	7.8258	8.3923	8.0444	7.2854	8.4009	8.1344	7.7074	8.5353	8.5736	8.0821	8.3923	8.4998	8.7649	7.5699	8.0389	7.8202	6.8580	7.8642	7.9600	9.0741	7.3487	8.1599	8.6221	8.9830	7.9600	8.1799	7.6511	7.9773	8.2046	8.5118	8.4094	8.3120	7.9484	8.0498	7.7004	8.3309	7.6221	8.2046	7.7682	8.5699	7.4512	7.7142	8.1241	7.6511	8.0553	8.6689	7.4998	7.2288	7.4676	8.3576	7.0334	7.7004	7.5546	7.8329	7.7814	7.7074	7.9715	7.1085	6.5546	7.4594	7.5157	7.7616
FANCG	2189	9.2479	9.2408	9.4030	8.1898	8.6366	9.0112	8.7549	8.0389	9.6184	9.1189	8.5736	7.7616	8.9396	9.2095	9.4512	8.3354	8.3923	8.0661	9.1972	7.3750	8.6330	8.0112	8.3880	8.6475	8.5236	8.7381	8.6795	8.8734	8.1948	8.3129	8.3443	8.4919	7.9009	7.8392	8.3880	8.9629	8.9129	8.0661	8.4838	8.9248	8.8918	7.8826	7.6294	8.1447	8.7912	8.6900	8.4221	9.0928	8.1137	7.7616	8.6865	7.9307	9.0498	8.3129	9.3083	7.7074	8.2621	8.0980	8.1548	9.0875	8.6184	8.5275	8.8424	8.3083	8.3619	8.3880	8.0980	7.8642	7.3219	7.6439	8.7715	7.9484	8.9366	7.8826	7.8202	7.6653	7.9009	7.0334	8.4009
FAN1	22909	10.5614	10.3163	10.5593	9.2772	9.7274	9.9507	10.1892	9.1028	10.5631	10.7548	10.1380	9.2130	10.3365	10.4036	11.0064	9.7350	9.9165	9.4498	9.9860	9.3612	9.3868	9.3243	9.4660	9.9853	10.0657	10.0527	9.7721	10.3046	10.2990	10.4903	9.9981	10.1516	9.8328	9.1602	9.7009	10.2116	10.5068	9.2299	9.7238	10.1918	10.4228	9.5219	9.7294	9.6738	9.9126	9.8682	10.1782	9.2950	9.6782	9.7616	9.6025	9.5297	10.1547	9.7195	10.1467	9.7737	10.3952	9.3123	9.5499	9.7976	9.5349	9.2045	9.9743	9.1979	9.4737	9.6381	9.0199	9.1369	9.8601	9.8672	10.0699	9.8298	9.7700	9.1824	8.9375	9.3018	9.5721	9.3978	9.4419
PAXIP1	22976	10.1071	9.8761	10.0927	9.0385	9.1439	9.3994	9.4917	8.6629	9.8295	9.8751	9.5645	8.9850	9.9091	9.8641	10.2501	9.2510	9.4018	8.7363	9.0990	9.1097	8.9603	9.2359	8.9716	9.1784	9.4642	9.7908	8.9711	9.4644	9.4200	9.5748	8.9651	9.4106	9.2722	9.1045	8.9973	9.4477	10.1923	9.1076	9.2201	9.6271	9.6221	9.0204	9.4286	9.0532	8.9531	9.4284	9.6465	8.9833	9.1413	9.3326	9.3298	9.0383	9.1128	8.8649	9.5295	8.8418	9.4935	8.5501	9.0582	9.4017	9.1217	9.0642	9.8706	8.6816	9.1888	9.0176	9.1005	8.6149	8.8996	8.8902	9.1834	8.9476	8.6610	8.6826	8.6914	8.6669	9.1049	9.2279	8.8800
SMC5	23137	11.2288	11.0272	11.6948	10.3219	10.8186	10.7288	11.2015	10.8826	11.1118	11.4210	10.9447	10.9708	11.7740	11.8657	11.4883	11.0189	10.7532	10.2384	10.9922	10.9766	10.6156	11.3276	11.0084	11.1542	10.9491	11.2509	10.6564	11.0795	10.8494	11.2131	10.3685	11.0423	11.0189	10.7372	10.4707	10.5670	11.2384	10.5584	10.7108	10.8337	11.6493	10.5718	10.9958	10.9270	10.5108	10.7030	11.1911	10.2021	11.1459	10.6119	11.2264	10.1599	10.8642	10.8463	11.0070	10.1737	11.5892	10.2726	10.7474	10.5812	10.4429	10.1787	11.8692	10.3140	10.2550	10.6221	10.3880	10.1861	10.2192	10.3387	11.0320	10.5450	9.7632	10.4888	10.4409	10.5736	11.2633	10.5038	10.7960
SPO11	23626	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
POLR1A	25885	10.7846	10.3399	10.6284	9.9024	10.0539	10.2107	10.6092	9.7228	10.5333	10.4179	10.4676	9.3619	10.3977	11.0485	10.4656	10.2432	10.5962	10.0553	9.9787	9.8918	10.0140	11.3044	9.8202	10.1812	10.5068	10.6546	10.2738	10.2900	10.5167	10.9513	10.0375	10.4481	10.7339	10.3015	10.6804	9.9672	10.4242	9.9218	9.9844	10.7448	10.4221	10.2784	10.1898	10.2467	10.0848	10.6119	10.6211	9.1497	11.0974	11.0914	10.8849	10.4315	10.3587	10.3869	10.7151	10.4788	10.8138	9.5812	10.7305	10.7715	10.8948	10.5895	10.8502	9.8688	10.6874	10.3641	10.4429	9.5868	10.9151	10.3891	10.5680	10.3740	10.6573	10.3465	10.3242	9.6257	10.5471	11.3399	10.7313
NSMCE2	286053	8.9858	8.8486	9.0112	9.0634	8.2992	8.7682	8.5507	8.4635	9.0795	9.6689	8.3399	8.4878	9.2923	9.1344	9.3197	8.7781	8.1997	8.1189	8.9337	9.2574	8.4798	9.4512	9.1396	8.4676	8.4512	9.0168	8.5353	8.1033	8.1548	8.8170	8.2384	9.0661	8.5699	8.9484	8.0928	8.4429	9.0768	8.8857	8.4009	9.2046	8.6760	8.1799	8.0875	8.5546	8.2900	8.6073	8.9366	8.9715	9.0378	8.8796	9.4221	8.6475	8.5812	8.4471	8.7211	8.5850	8.8455	7.5546	8.5353	8.9887	8.2715	7.7279	9.3531	8.2574	8.5196	8.6511	8.4388	8.1189	8.7448	8.7682	9.0607	8.8265	8.1749	8.1241	8.8549	8.8704	9.1293	8.6402	8.5699
UBE2T	29089	5.0875	5.6147	5.7004	5.6439	5.2854	5.3219	4.8580	4.7549	5.8329	6.0875	4.6439	3.4594	7.1497	4.7004	5.6147	5.6439	5.1699	4.2479	5.5850	6.0224	5.2854	5.0000	4.3219	6.2095	4.7004	5.6147	5.5850	5.4594	4.9069	5.0000	4.1699	5.3219	4.0875	3.8074	5.0000	5.3219	4.0000	4.8580	5.0444	4.5850	4.7549	3.3219	3.8074	5.3923	3.8074	5.3576	3.5850	5.6439	5.2095	4.3923	5.3576	5.7279	5.7549	4.5236	5.5850	4.3219	5.0875	3.4594	4.2479	5.3576	4.2479	6.8948	4.3219	4.5236	4.1699	4.5850	5.9307	4.8074	6.0224	5.1293	3.4594	4.9069	5.8826	5.0000	4.3923	5.5236	4.1699	5.2854	4.8074
RPA4	29935	0.0000	2.3219	2.0000	2.3219	1.0000	2.0000	0.0000	3.0000	3.5850	2.3219	2.0000	1.5850	3.0000	3.1699	2.0000	2.0000	2.0000	2.8074	2.5850	2.8074	3.4594	2.8074	4.1699	2.3219	1.0000	2.5850	4.3219	2.8074	1.5850	2.5850	2.3219	3.0000	2.0000	2.5850	1.5850	3.0000	2.0000	3.1699	3.5850	1.0000	2.0000	1.5850	0.0000	2.5850	2.0000	1.0000	0.0000	1.5850	2.3219	2.0000	2.3219	3.0000	2.0000	3.5850	2.5850	1.0000	1.5850	0.0000	2.0000	2.3219	2.0000	0.0000	2.5850	2.5850	2.5850	3.8074	3.1699	4.3219	2.3219	2.0000	3.0000	3.0000	2.5850	1.0000	1.0000	3.0000	2.3219	2.3219	3.1699
H2AX	3014	8.4961	8.2854	8.5275	8.5951	8.0658	8.0903	7.9884	7.6972	8.6147	8.0980	8.2709	7.3309	9.2785	8.2849	8.9689	7.8455	8.8790	7.9870	7.8392	6.4263	8.2046	8.9458	8.0183	8.2595	8.1130	8.4009	8.0389	8.5546	8.7557	8.4963	8.5078	8.3849	7.9944	7.9773	7.8826	8.4561	8.7074	8.1497	7.1198	9.0813	7.9715	8.0597	7.5026	8.3399	7.9484	8.4594	8.0444	8.9366	8.1997	8.0330	8.2668	8.5007	8.3272	7.7280	8.3008	8.0224	8.2153	7.7517	7.7482	9.2143	8.9484	9.5683	8.2848	7.9353	8.7944	8.1997	8.8138	7.7279	8.7515	8.6113	7.6439	8.1137	8.9658	8.3174	8.0661	7.8138	8.1027	8.4502	8.4717
